,Title,Average Score,Score Count,Developers,Games Developed
320,Subaeria,57.5,2,Illogika Studios,6
321,Dispatcher,40.0,2,CivilSavages,2
322,Rodina,80.0,2,Elliptic Games,1
323,Starmade,60.0,2,Schine,2
324,Block Story,50.0,2,"MindBlocks Studio, LLC",1
325,Prismata,70.0,2,Lunarch Studios,2
326,Soulslinger: Envoy of Death,92.0,1,Elder Games,5
327,New Star GP,80.0,1,New Star Games,15
328,Forgive Me Father 2,70.0,1,Byte Barrel,4
329,Go-Go Town!,85.0,1,Prideful Sloth,5
330,Trinity Fusion,85.0,1,Angry Mob Games,6
331,Voltaire: The Vegan Vampire,60.0,1,Digitality Games,1
332,Arto,35.0,1,Orion Games,7
333,MythForce,65.0,1,Beamdog,13
334,Spiritfall,66.0,1,Gentle Giant,1
335,Sker Ritual,60.0,1,Wales Interactive,20
336,Lovecraft's Untold Stories 2,40.0,1,Blini Games,3
337,Thy Creature,90.0,1,Growing Seeds,5
338,Oaken,65.0,1,Laki Studio,1
339,Dread Delusion,73.0,1,Lovely Hellplace,7
340,Mortal Sin,81.0,1,Nikola Todorovic,1
341,Ember Knights,85.0,1,Tiny Titan Studios,4
342,Puzzle Quest 3,60.0,1,Infinity Plus 2,3
343,Patch Quest,85.0,1,Lychee Game Labs,1
344,Graven,75.0,1,Slipgate Ironworks,9
345,Total Arcade Racing,80.0,1,Pretty Fly Games,1
346,Titan Chaser,80.0,1,Stas Shostak,5
347,Victory Road,80.0,1,Strange Journey,1
348,Mists of Noyah,60.0,1,Pyxeralia,3
349,Weed Farmer Simulator,50.0,1,Polyák Kristóf,1
350,Shaolin vs Wutang 2,70.0,1,J.Bowman,2
351,Barricadez,80.0,1,FlyPenguin,2
352,Ultimate Zombie Defense,70.0,1,Terror Dog Studio,4
353,Tainted Grail: The Fall of Avalon,0.0,1,Awaken Realms,3
354,Spellsword Cards: DungeonTop,68.0,1,One Up Plus Entertainment,5
355,Mad Experiments: Escape Room,70.0,1,PlayTogether Studio,2
356,MMORPG Tycoon 2,70.0,1,VectorStorm,1
357,Tip of the Spear: Task Force Elite,80.0,1,Red Jake Studios,1
358,The Yellow King,70.0,1,Spellbook,4
359,Errant Kingdom,70.0,1,Lunaris Games,3
360,Day of Dragons,50.0,1,Beawesome Games,1
361,Book of Travels,66.0,1,Might and Delight,11
362,Necronator: Dead Wrong,65.0,1,Toge Productions,16
363,Drift of the Hill,80.0,1,RewindApp,52
364,Neon Noodles: Cyberpunk Kitchen Automation,70.0,1,Vivid Helix,2
365,Beat Blast,88.0,1,Woolly Walrus Games,1
366,Bastide,50.0,1,MedievalNexus,1
367,MicroTown,70.0,1,Snowy Ash Games,1
368,Devil's Deck,60.0,1,Chengdu zhidianshidai Technology Limited company,1
370,Onset,70.0,1,Blue Mountains,1
371,Shadows of Doubt,80.0,1,ColePowered Games,2
372,Sky Link,70.0,1,Odisi Games,1
373,Ritual: Crown of Horns,75.0,1,Draw Distance,6
374,Naxia,50.0,1,Infinite8,1
375,Ninja Legends,70.0,1,Coinflip Studios,1
376,Axis & Allies 1942 Online,50.0,1,Beamdog,13
377,Siege of Centauri,65.0,1,Stardock Entertainment,21
378,Gravity Ace,70.0,1,John Watson,1
379,Burned Land,70.0,1,Koya Game,2
380,Road to Guangdong,50.0,1,Just Add Oil Games,1
381,Winkeltje: The Little Shop,70.0,1,Sassybot,2
382,2084,50.0,1,Feardemic,1
383,Hotel Sowls,65.0,1,Studio Sott,1
385,Murder Mystery Machine,73.0,1,Blazing Griffin,6
386,Fantasy Blacksmith,50.0,1,Heaven Brotherhood,3
387,Deadliest Catch: The Game,45.0,1,4Fishing,1
388,Blink: Rogues,65.0,1,FoxDiveStudio,1
389,Pandemic Express: Zombie Escape,60.0,1,TallBoys,3
390,Time Warpers,70.0,1,Proton Studio Inc,4
391,Deadside,60.0,1,Bad Pixel,1
392,Lawless Lands,70.0,1,Corrosive Studios LLC,6
393,Starcom: Nexus,70.0,1,Wx3 Labs,1
394,Good Company,60.0,1,Chasing Carrots,5
395,Black Paradox,35.0,1,Fantastico Studio,7
395,Black Paradox,35.0,1,Stage Clear Studios,12
396,Seeds of Resilience,60.0,1,Subtle Games,1
397,Rapture Rejects,50.0,1,Galvanic Games,5
397,Rapture Rejects,50.0,1,Explosm,3
398,Melting World Online,50.0,1,Juvty Worlds Ltd.,5
400,Adeptus Titanicus: Dominus,80.0,1,Membraine Studios,2
401,The Hardest Dungeon,70.0,1,Pippala Games,2
402,Find Your Way,50.0,1,OnBlind,5
403,Newt One,70.0,1,DevNAri,1
404,The True Slime King,90.0,1,Josh Penn-Pierson,1
405,ValeGuard,64.0,1,Lost Tower Games,1
406,Vox Machinae,80.0,1,Space Bullet Dynamics Corporation,2
407,Final Assault,70.0,1,Phaser Lock Interactive,2
408,BoxVR,80.0,1,FitXR,1
409,Sipho,70.0,1,All Parts Connected,1
410,The Snowboard Game,60.0,1,Let It Roll,1
411,Swords 'n Magic and Stuff,80.0,1,Kindred Games,1
