,Title,Average Score,Score Count,Game Modes
148,Anvil Saga,67.72131316470231,5,Single player
149,IdleOn: The Idle MMO,60.14821496751836,5,Single player
149,IdleOn: The Idle MMO,60.14821496751836,5,Multiplayer
149,IdleOn: The Idle MMO,60.14821496751836,5,Co-operative
149,IdleOn: The Idle MMO,60.14821496751836,5,Massively Multiplayer Online (MMO)
150,Population: One,96.0,5,Single player
150,Population: One,96.0,5,Multiplayer
150,Population: One,96.0,5,Battle Royale
151,Hokko Life,43.0,5,Single player
152,Hunter's Arena: Legends,51.0809954501272,5,Single player
152,Hunter's Arena: Legends,51.0809954501272,5,Multiplayer
152,Hunter's Arena: Legends,51.0809954501272,5,Co-operative
152,Hunter's Arena: Legends,51.0809954501272,5,Massively Multiplayer Online (MMO)
153,Going Medieval,61.75159575149583,5,Single player
154,Dungeon of Dragon Knight,46.62921348314606,5,Single player
155,Size Matters,50.84093736992634,5,Single player
156,Drunken Wrestlers 2,76.0,5,Multiplayer
157,Vegas Infinite by PokerStars,88.0,5,Multiplayer
158,Scarf,66.4,5,Single player
159,Among Trees,69.54784831221782,5,Single player
160,Space Haven,63.80323791759334,5,Single player
161,Headsnatchers,47.78376298576376,5,Single player
161,Headsnatchers,47.78376298576376,5,Multiplayer
161,Headsnatchers,47.78376298576376,5,Co-operative
161,Headsnatchers,47.78376298576376,5,Split screen
162,The Lord of the Rings: Adventure Card Game,68.92047568695789,5,Single player
162,The Lord of the Rings: Adventure Card Game,68.92047568695789,5,Multiplayer
162,The Lord of the Rings: Adventure Card Game,68.92047568695789,5,Co-operative
163,Witchfire,49.69721893740783,5,Single player
164,Computer Tycoon,68.4416367775665,5,Single player
165,Desolate,76.41030041246324,5,Single player
165,Desolate,76.41030041246324,5,Multiplayer
165,Desolate,76.41030041246324,5,Co-operative
166,Bio Inc. Redemption,70.0,5,Single player
166,Bio Inc. Redemption,70.0,5,Multiplayer
167,AdventureQuest 3D,63.14621339834339,5,Single player
167,AdventureQuest 3D,63.14621339834339,5,Multiplayer
167,AdventureQuest 3D,63.14621339834339,5,Co-operative
167,AdventureQuest 3D,63.14621339834339,5,Massively Multiplayer Online (MMO)
168,Paranormal Activity: The Lost Soul,69.02774897875744,5,Single player
169,Tower Unite,80.81601636208076,5,Single player
169,Tower Unite,80.81601636208076,5,Multiplayer
169,Tower Unite,80.81601636208076,5,Co-operative
169,Tower Unite,80.81601636208076,5,Massively Multiplayer Online (MMO)
170,WWII Online,72.5,5,Single player
170,WWII Online,72.5,5,Multiplayer
170,WWII Online,72.5,5,Co-operative
170,WWII Online,72.5,5,Massively Multiplayer Online (MMO)
171,Chime Sharp,78.16666666666666,5,Single player
172,StarCrawlers,70.03088533873589,5,Single player
173,Bang-On Balls: Chronicles,80.0,4,Single player
173,Bang-On Balls: Chronicles,80.0,4,Multiplayer
173,Bang-On Balls: Chronicles,80.0,4,Co-operative
174,The Long Drive,60.0,4,Single player
175,Black Skylands,80.0,4,Single player
176,Gamecraft,60.0,4,Single player
177,Shortest Trip to Earth,64.83333333333334,4,Single player
178,Mist Survival,80.0,4,Single player
179,Meow Motors,65.5,4,Single player
179,Meow Motors,65.5,4,Multiplayer
179,Meow Motors,65.5,4,Co-operative
179,Meow Motors,65.5,4,Split screen
180,Mars Horizon,80.0,4,Single player
181,The Coin Game,70.0,4,Single player
182,Chinese Parents,80.0,4,Single player
183,Fault: Elder Orb,50.0,4,Multiplayer
183,Fault: Elder Orb,50.0,4,Co-operative
184,Yorkshire Gubbins,79.0,4,Single player
185,Rise to Ruins,80.0,4,Single player
186,Knockout League,76.0,4,Single player
187,Long Gone Days,72.0,4,Single player
188,Guild Quest,60.0,4,Single player
189,Derail Valley,80.0,4,Single player
190,Terroir,60.0,4,Single player
191,Pocket Rumble,62.5,4,Single player
191,Pocket Rumble,62.5,4,Multiplayer
192,Can't Drive This,50.0,4,Single player
192,Can't Drive This,50.0,4,Multiplayer
192,Can't Drive This,50.0,4,Co-operative
192,Can't Drive This,50.0,4,Split screen
193,Windscape,66.16666666666667,4,Single player
194,Volo Airsport,50.0,4,Single player
195,Salt,80.0,4,Single player
195,Salt,80.0,4,Multiplayer
195,Salt,80.0,4,Co-operative
196,Automation: The Car Company Tycoon Game,80.0,4,Single player
197,The Way of Life,66.16795317036319,4,Single player
198,Medieval Engineers,60.0,4,Single player
198,Medieval Engineers,60.0,4,Multiplayer
198,Medieval Engineers,60.0,4,Co-operative
199,Secrets of Grindea,80.0,4,Single player
199,Secrets of Grindea,80.0,4,Multiplayer
199,Secrets of Grindea,80.0,4,Co-operative
200,Realms of Arkania: Star Trail,50.0,4,Single player
201,Stranded: Alien Dawn,83.66666666666667,3,Single player
202,Power Chord,60.0,3,Single player
203,Instruments of Destruction,87.0,3,Single player
204,Tinker Racers,70.0,3,Single player
204,Tinker Racers,70.0,3,Multiplayer
204,Tinker Racers,70.0,3,Co-operative
205,The Political Process,80.0,3,Single player
206,10 Miles to Safety,80.0,3,Single player
206,10 Miles to Safety,80.0,3,Multiplayer
206,10 Miles to Safety,80.0,3,Co-operative
207,Hot Shot Burn,70.0,3,Single player
207,Hot Shot Burn,70.0,3,Multiplayer
208,Quantum League,71.0,3,Multiplayer
209,A Year of Rain,50.0,3,Single player
209,A Year of Rain,50.0,3,Multiplayer
209,A Year of Rain,50.0,3,Co-operative
210,Rogue Star Rescue,70.0,3,Single player
210,Rogue Star Rescue,70.0,3,Multiplayer
210,Rogue Star Rescue,70.0,3,Co-operative
211,Blazing Sails,80.0,3,Multiplayer
211,Blazing Sails,80.0,3,Co-operative
211,Blazing Sails,80.0,3,Battle Royale
212,Mystic Vale,75.0,3,Single player
212,Mystic Vale,75.0,3,Multiplayer
213,Nanotale: Typing Chronicles,65.0,3,Single player
214,Down to Hell,45.0,3,Single player
215,Tapsonic Bold,25.0,3,Single player
216,Beasts of Bermuda,50.0,3,Multiplayer
216,Beasts of Bermuda,50.0,3,Massively Multiplayer Online (MMO)
217,Rising Hell,70.0,3,Single player
